ID;REG;LAYER;NUM
103;RU-SE;parking-polygon;185
103;RU-SE;landuse-polygon;1580
103;RU-SE;public-transport-point;815
103;RU-SE;building-point;7268
103;RU-SE;highway-line;9112
103;RU-SE;aerialway-line;3
103;RU-SE;poi-polygon;1209
103;RU-SE;water-line;649
103;RU-SE;boundary-polygon;72
103;RU-SE;railway-station-point;23
103;RU-SE;building-polygon;27982
103;RU-SE;poi-point;865
103;RU-SE;nature_reserve-polygon;16
103;RU-SE;land;1
103;RU-SE;settlement-polygon;172
103;RU-SE;settlement-point;262
103;RU-SE;water-polygon;187
103;RU-SE;railway-platform-polygon;2
103;RU-SE;surface-polygon;128
103;RU-SE;aerialway-point;10
103;RU-SE;vegetation-polygon;1536
103;RU-SE;highway-crossing-point;113
30;RU-CHE;railway-line;10899
30;RU-CHE;parking-polygon;2790
30;RU-CHE;landuse-polygon;26851
30;RU-CHE;public-transport-point;2799
30;RU-CHE;building-point;124
30;RU-CHE;highway-line;131729
30;RU-CHE;aerialway-line;37
30;RU-CHE;poi-polygon;13585
30;RU-CHE;water-line;5228
30;RU-CHE;boundary-polygon;329
30;RU-CHE;railway-station-point;397
30;RU-CHE;building-polygon;362983
30;RU-CHE;poi-point;17131
30;RU-CHE;nature_reserve-polygon;12
30;RU-CHE;land;1
30;RU-CHE;settlement-polygon;1367
30;RU-CHE;settlement-point;1731
30;RU-CHE;water-polygon;8483
30;RU-CHE;railway-platform-polygon;70
30;RU-CHE;surface-polygon;4012
30;RU-CHE;aerialway-point;47
30;RU-CHE;vegetation-polygon;36848
30;RU-CHE;highway-crossing-point;2778
15;KG;railway-line;710
15;KG;parking-polygon;450
15;KG;landuse-polygon;8086
15;KG;public-transport-point;965
15;KG;building-point;171
15;KG;highway-line;72912
15;KG;aerialway-line;22
15;KG;poi-polygon;6923
15;KG;water-line;5868
15;KG;boundary-polygon;27
15;KG;railway-station-point;64
15;KG;building-polygon;354444
15;KG;poi-point;12543
15;KG;nature_reserve-polygon;18
15;KG;land;1
15;KG;settlement-polygon;1588
15;KG;settlement-point;1740
15;KG;water-polygon;2356
15;KG;railway-platform-polygon;5
15;KG;surface-polygon;736
15;KG;aerialway-point;32
15;KG;vegetation-polygon;1479
15;KG;highway-crossing-point;884
61;RU-MOW;railway-line;8943
61;RU-MOW;parking-polygon;9474
61;RU-MOW;landuse-polygon;28267
61;RU-MOW;public-transport-point;10938
